split,model,method,kind,representation,sigma,pr_auc,roc_auc,youden_threshold,sensitivity,recall,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold1,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.836710775088885,0.9357410507852986,0.40703517587939697,0.7567567567567568,0.7567567567567568,0.7850467289719626,0.9491150442477876,0.911190053285968,0.7706422018348624,0.7058718010045444,0.3981071705534973,0.914632012192215,343
rep1_fold2,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.8529019588930407,0.9171681976560025,0.4623115577889447,0.8303571428571429,0.8303571428571429,0.7622950819672131,0.9356984478935698,0.9147424511545293,0.7948717948717948,0.7660555907507127,15.848931924611142,0.9224101886229247,343
rep1_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=2.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,2.0,0.853102333962384,0.916970224897054,0.457286432160804,0.8392857142857143,0.8392857142857143,0.7580645161290323,0.9334811529933481,0.9147424511545293,0.7966101694915254,0.7727668672790624,15.848931924611142,0.9231944770028117,343
rep1_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=4.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,4.0,0.8550665273347118,0.9165148875514729,0.45226130653266333,0.8482142857142857,0.8482142857142857,0.7480314960629921,0.9290465631929047,0.9129662522202486,0.7949790794979079,0.7772608489071904,15.848931924611142,0.9220968248008985,343
rep1_fold2,Gaussian-smoothed + Functional logistic regression (L2) (sigma=6.0),Functional logistic regression (L2),logreg_l2,Gaussian-smoothed spectra,6.0,0.8486022228033065,0.9138620525815647,0.4623115577889447,0.8303571428571429,0.8303571428571429,0.7815126050420168,0.9423503325942351,0.9200710479573713,0.8051948051948052,0.7727074754513779,100.0,0.9234619661691615,343
rep1_fold2,Raw + Functional linear SVM,Functional linear SVM,linear_svm,Raw spectra,0.0,0.8299728418678167,0.9116051631295534,0.6582914572864321,0.9107142857142857,0.9107142857142857,0.425,0.6940133037694013,0.7371225577264654,0.5795454545454546,0.604727589483687,15.848931924611142,0.9194129440149418,343
rep1_fold2,Gaussian-smoothed + Functional linear SVM (sigma=2.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,2.0,0.832890423532561,0.9135452961672474,0.6733668341708543,0.9107142857142857,0.9107142857142857,0.43776824034334766,0.7095343680709535,0.7495559502664298,0.591304347826087,0.6202486537852392,15.848931924611142,0.919573492755169,343
rep1_fold2,Gaussian-smoothed + Functional linear SVM (sigma=4.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,4.0,0.8308614492490402,0.9131691479252455,0.678391959798995,0.8303571428571429,0.8303571428571429,0.636986301369863,0.8824833702882483,0.872113676731794,0.7209302325581395,0.7128405131453912,15.848931924611142,0.9187845340490884,343
rep1_fold2,Gaussian-smoothed + Functional linear SVM (sigma=6.0),Functional linear SVM,linear_svm,Gaussian-smoothed spectra,6.0,0.8187720276331142,0.9067746278112132,0.628140703517588,0.8571428571428571,0.8571428571428571,0.5363128491620112,0.8159645232815964,0.8241563055062167,0.6597938144329897,0.6731073804244536,100.0,0.9193948151143406,343
rep1_fold3,Raw + Functional logistic regression (L2),Functional logistic regression (L2),logreg_l2,Raw spectra,0.0,0.7895771854755823,0.9206129236617041,0.45226130653266333,0.8035714285714286,0.8035714285714286,0.743801652892562,0.9312638580931264,0.9058614564831261,0.7725321888412017,0.7348352866645551,15.848931924611142,0.9181981319096973,343
