model,wavelength,weight_mean,weight_std
Gaussian-smoothed + Functional linear SVM (sigma=2.0),694.0,0.47362896974691965,2.5087463650881525
Gaussian-smoothed + Functional linear SVM (sigma=2.0),696.0,0.8606805859783946,2.6928882739343214
Gaussian-smoothed + Functional linear SVM (sigma=2.0),698.0,0.9883633237681635,2.546114544157994
Gaussian-smoothed + Functional linear SVM (sigma=2.0),700.0,0.37368752936379174,2.0196803853290426
Gaussian-smoothed + Functional linear SVM (sigma=2.0),702.0,-1.1474277035339735,1.3455051085065648
Gaussian-smoothed + Functional linear SVM (sigma=2.0),704.0,-3.217063038382625,1.278071363648305
Gaussian-smoothed + Functional linear SVM (sigma=2.0),706.0,-5.09034029961829,2.018045882288598
Gaussian-smoothed + Functional linear SVM (sigma=2.0),708.0,-6.031409629822878,2.7573826319368315
Gaussian-smoothed + Functional linear SVM (sigma=2.0),710.0,-5.7089278265574634,3.1802036636068984
Gaussian-smoothed + Functional linear SVM (sigma=2.0),712.0,-4.3678425182066265,3.3145283949269646
Gaussian-smoothed + Functional linear SVM (sigma=2.0),714.0,-2.733437062440793,3.2992187741434105
Gaussian-smoothed + Functional linear SVM (sigma=2.0),716.0,-1.6702701240221485,3.139749314122597
Gaussian-smoothed + Functional linear SVM (sigma=2.0),718.0,-1.7052158569058409,2.734249387845507
Gaussian-smoothed + Functional linear SVM (sigma=2.0),720.0,-2.6983958931288017,2.1838386282297977
Gaussian-smoothed + Functional linear SVM (sigma=2.0),722.0,-3.917300174666101,1.8616691883916614
Gaussian-smoothed + Functional linear SVM (sigma=2.0),724.0,-4.469038169038293,1.828415139618792
Gaussian-smoothed + Functional linear SVM (sigma=2.0),726.0,-3.783708098080049,1.7092654006730166
Gaussian-smoothed + Functional linear SVM (sigma=2.0),728.0,-1.8999829106133586,1.5893171201892131
Gaussian-smoothed + Functional linear SVM (sigma=2.0),730.0,0.527971654182677,1.992054421189502
Gaussian-smoothed + Functional linear SVM (sigma=2.0),732.0,2.505610205743093,2.588214141922523
Gaussian-smoothed + Functional linear SVM (sigma=2.0),734.0,3.163376219899206,2.69145042839797
Gaussian-smoothed + Functional linear SVM (sigma=2.0),736.0,2.2141533808735865,2.0845216121140324
Gaussian-smoothed + Functional linear SVM (sigma=2.0),738.0,0.11125585673592718,1.2865453335622286
Gaussian-smoothed + Functional linear SVM (sigma=2.0),740.0,-2.198349556017054,1.648320628499863
Gaussian-smoothed + Functional linear SVM (sigma=2.0),742.0,-3.726440499744524,2.417615616638309
Gaussian-smoothed + Functional linear SVM (sigma=2.0),744.0,-3.8546134903980644,2.5642762092791376
Gaussian-smoothed + Functional linear SVM (sigma=2.0),746.0,-2.5564295903992313,1.9623539140805413
Gaussian-smoothed + Functional linear SVM (sigma=2.0),748.0,-0.3935097436857853,1.12943373587985
Gaussian-smoothed + Functional linear SVM (sigma=2.0),750.0,1.7134624726951924,1.4084409988981648
Gaussian-smoothed + Functional linear SVM (sigma=2.0),752.0,2.8909168879022498,2.1306868159464023
Gaussian-smoothed + Functional linear SVM (sigma=2.0),754.0,2.7056707458535096,2.3647701185232837
Gaussian-smoothed + Functional linear SVM (sigma=2.0),756.0,1.3248622796834995,2.1493760027326787
Gaussian-smoothed + Functional linear SVM (sigma=2.0),758.0,-0.620241341082342,1.9409795576698707
Gaussian-smoothed + Functional linear SVM (sigma=2.0),760.0,-2.3516954006477726,2.0426132490761715
Gaussian-smoothed + Functional linear SVM (sigma=2.0),762.0,-3.2724639086076315,2.161162151632753
Gaussian-smoothed + Functional linear SVM (sigma=2.0),764.0,-3.1707743387766896,1.994222561460082
