wavelength,mean_d1_non_binary,mean_d1_binary,mean_d2_non_binary,mean_d2_binary
466.0,-0.0004354604272849684,-0.0004069104467274036,-2.312691975909171e-05,-3.0819236907090703e-05
468.0,-0.0004902407098478372,-0.0004717623333880999,-3.636031634039888e-05,-3.904210736933254e-05
470.0,-0.0005809016926465645,-0.0005630788762047337,-3.6487024020077924e-05,-3.4936572630068226e-05
472.0,-0.0006361888059281492,-0.0006115086239083727,-2.8094702256608458e-05,-2.4735378604017924e-05
474.0,-0.0006932805016729957,-0.0006620203906208049,-2.8526836810762845e-05,-2.6574237948376145e-05
476.0,-0.0007502961531711998,-0.0007178055757018768,-1.5400359187503327e-05,-1.6025238135745267e-05
478.0,-0.0007548819384230104,-0.0007261213431637862,1.2072978234289982e-06,-2.036470859626057e-06
480.0,-0.0007454669618774846,-0.0007259514591403814,1.4496405544315545e-05,9.73544277847513e-06
482.0,-0.0006968963162457491,-0.0006871795720498859,3.385828303594306e-05,2.9811165923167936e-05
484.0,-0.0006100338297337129,-0.0006067067954477102,4.836751332171579e-05,4.657061004503425e-05
486.0,-0.0005034262629588856,-0.0005008971318697492,6.687108970646474e-05,6.854762083229201e-05
488.0,-0.00034254947090785437,-0.00033251631211854177,8.035287160422234e-05,8.512385241641303e-05
490.0,-0.00018201477654199646,-0.00016040172220409743,6.787662537107395e-05,7.32747945650911e-05
492.0,-7.104296942355672e-05,-3.941713385817734e-05,3.883998629712267e-05,4.240812422445171e-05
494.0,-2.665483135350609e-05,9.230774693709113e-06,1.610177335053497e-05,1.6840876355411868e-05
496.0,-6.635876021416965e-06,2.7946371563470224e-05,1.4684190794344657e-06,-8.591678756124382e-07
498.0,-2.0781155035768227e-05,5.79410319125936e-06,-3.170643620514424e-05,-3.8099831109993044e-05
500.0,-0.00013346162084199378,-0.00012445295287650176,-5.8301921767667196e-05,-6.74606093473365e-05
502.0,-0.00025398884210643723,-0.00026404833419808686,-5.3004820672326316e-05,-6.157041351785511e-05
504.0,-0.0003454809035312982,-0.00037073460694792254,-4.5820549014389545e-05,-5.220033506950894e-05
506.0,-0.00043727103816399506,-0.0004728496744761222,-3.0463155663437987e-05,-3.300894262930472e-05
508.0,-0.00046733352618505067,-0.0005027703774651421,-6.069913698036817e-06,-3.7182297620644774e-06
510.0,-0.00046155069295614225,-0.00048772259352438015,1.1199530877364432e-05,1.7767748315499147e-05
512.0,-0.0004225354026755934,-0.00043169938420314495,2.8371399155496934e-05,3.826471081169853e-05
514.0,-0.00034806509633415425,-0.00033466375027758617,3.760448285072496e-05,4.903568713894102e-05
516.0,-0.00027211747127269415,-0.00023555663564738083,2.8372993425280462e-05,3.873854947066506e-05
518.0,-0.00023457312263303263,-0.00017970955239492585,1.750435601902075e-05,2.549514576433255e-05
520.0,-0.00020210004719661037,-0.00013357605259005058,1.629330443491266e-05,2.18206546807129e-05
522.0,-0.00016939990489338186,-9.242693367207413e-05,2.182279589276572e-06,4.090167074563032e-06
524.0,-0.00019337092883950374,-0.00011721538429179855,-1.721159272506388e-05,-1.9079901886490486e-05
526.0,-0.0002382462757936377,-0.00016874654121803596,-2.08831371131295e-05,-2.4782098834676833e-05
528.0,-0.0002769034772920228,-0.00021634377963050563,-2.629802528314776e-05,-3.169856492526818e-05
530.0,-0.0003434383769262295,-0.00029554080091910844,-3.189669792310792e-05,-3.811775986281027e-05
532.0,-0.0004044902689844538,-0.0003688148190817466,-1.5526254700687472e-05,-2.0013114798265593e-05
534.0,-0.0004055433957289778,-0.0003755932601121707,3.7585600765334947e-06,1.6745911050325356e-06
536.0,-0.00038945602867832105,-0.0003621164546616167,5.501681519747024e-06,4.282368439206372e-06
538.0,-0.0003835366696499904,-0.0003584637863553456,1.0663983894464394e-05,1.053659166084114e-05
540.0,-0.00034680009310046275,-0.0003199700880182523,2.64928914989417e-05,2.832828031756362e-05
542.0,-0.00027756510365422454,-0.0002451506650850907,2.6117502675005767e-05,2.7948250464671532e-05
544.0,-0.00024233008240044022,-0.00020817708615956585,1.4119389684703378e-05,1.4445749458878956e-05
546.0,-0.00022108754491540985,-0.000187367667249575,1.4803609072366375e-05,1.4856548164875599e-05
548.0,-0.00018311564611097402,-0.0001487508935000635,1.6432257925621305e-05,1.6329073097428964e-05
550.0,-0.0001553585132129253,-0.00012205137485985916,2.489909457852919e-06,5.197504771244893e-07
552.0,-0.0001731560082795622,-0.00014667189159156568,-9.190701522995522e-06,-1.2589669173297504e-05
554.0,-0.0001921213193049069,-0.0001724100515530494,-5.085121644939902e-06,-7.763411884653283e-06
556.0,-0.0001934964948593225,-0.00017772553913017857,-8.271321533200356e-06,-1.0893980694848733e-05
558.0,-0.00022520660543770847,-0.00021598597433244426,-1.4872258858279175e-05,-1.7658154982667968e-05
560.0,-0.00025298553029243936,-0.0002483581590608505,-9.451606212052355e-06,-1.0764161414175627e-05
562.0,-0.00026301303028591796,-0.00025904261998914674,-1.1800291485021251e-06,-5.910942669636887e-07
564.0,-0.00025770564688644757,-0.0002507225361287047,3.6280882486552454e-06,5.609148664428985e-06
566.0,-0.00024850067729129675,-0.0002366060253314307,9.75614483496483e-06,1.3174017622326005e-05
568.0,-0.00021868106754658774,-0.00019802646563940127,1.9738688330807713e-05,2.4919981510416304e-05
570.0,-0.00016954592396806623,-0.00013692609928976553,1.2995885850034403e-05,1.7259134594376418e-05
572.0,-0.0001666975241464506,-0.0001289899272618956,-5.622122795477491e-06,-4.397856824407341e-06
574.0,-0.00019203441514997622,-0.0001545175265873949,-1.4825990204072286e-05,-1.576599263027354e-05
576.0,-0.0002260014849627399,-0.00019205389778298982,-1.6368719018659577e-05,-1.8631728340788368e-05
578.0,-0.0002575092912246146,-0.00022904443995054835,-1.426925399791542e-05,-1.738247612028981e-05
580.0,-0.0002830785009544009,-0.0002615838022641493,-1.7722200711847744e-05,-2.2532379402301812e-05
582.0,-0.0003283980940720048,-0.0003191739575597559,-1.0882898897302896e-05,-1.5434198868306485e-05
584.0,-0.0003266100965436129,-0.00032332059773737505,8.808582087370496e-06,7.006819237611919e-06
586.0,-0.0002931637657225234,-0.00029114668060930876,1.688260932979219e-05,1.6312481134213477e-05
588.0,-0.0002590796592244441,-0.0002580706732005212,2.6111549767557255e-05,2.7356819843758803e-05
590.0,-0.00018871756665229443,-0.00018171940123427288,2.5736380106319913e-05,2.725281780589749e-05
592.0,-0.0001561341387991645,-0.0001490594019769312,8.054742469311102e-06,6.848019699856682e-06
594.0,-0.00015649859677504987,-0.0001543273224348463,1.106579702088168e-05,1.0941552991619448e-05
596.0,-0.00011187095071563794,-0.00010529319001045333,2.1823314830612244e-05,2.4252951755879194e-05
598.0,-6.920533745260117e-05,-5.731551541132964e-05,1.3359051095978918e-05,1.484758679312461e-05
600.0,-5.843474633172193e-05,-4.59028428379549e-05,-1.8768802867099833e-06,-2.6481844658647213e-06
602.0,-7.671285859944095e-05,-6.790825327478845e-05,-1.2284765359833183e-05,-1.4505395792336731e-05
604.0,-0.0001075738077710547,-0.00010392442600730176,-1.5362143837116164e-05,-1.7737193885029572e-05
606.0,-0.0001381614339479058,-0.00013885702881490659,-1.4805497316407273e-05,-1.674587222113005e-05
608.0,-0.00016679579703668358,-0.0001709079148918221,-1.0563943276284551e-05,-1.1471990865441595e-05
610.0,-0.00018041720705304386,-0.00018474499227667292,-5.871795359454306e-06,-5.787439650728128e-06
612.0,-0.00019028297847450092,-0.00019405767349473476,-4.808349034179659e-06,-4.572065033201151e-06
614.0,-0.00019965060318976262,-0.00020303325240947782,-9.941049253382352e-07,-1.6373526794217036e-07
616.0,-0.00019425939817585403,-0.00019471261456650317,-1.0938872663266917e-06,-5.818756762197191e-07
618.0,-0.00020402615225506923,-0.00020536075511435635,-1.6917359844266076e-06,-1.627208320369873e-06
620.0,-0.0002010263421135602,-0.00020122144784798267,1.7096504605696576e-05,2.0855557320016447e-05
622.0,-0.00013564013383228311,-0.00012193852583429083,2.7326515033577217e-05,3.306840959313256e-05
624.0,-9.172028197925141e-05,-6.894780947545253e-05,1.3899051639921816e-05,1.663242025872245e-05
626.0,-8.004392727259574e-05,-5.5408844799400996e-05,7.497507770865361e-06,8.71735121792288e-06
628.0,-6.173025089579e-05,-3.407840460376101e-05,3.5920325300065333e-06,3.786123324803676e-06
630.0,-6.567579715256954e-05,-4.0264351500186304e-05,-2.5254280755130067e-06,-3.81295580380646e-06
632.0,-7.183196319784219e-05,-4.933022781898676e-05,-6.889796901833009e-06,-1.057548806465038e-05
634.0,-9.323498475990167e-05,-8.256630375878769e-05,-1.8402829679340592e-05,-2.680969623109272e-05
636.0,-0.00014544328191520452,-0.00015656901274335762,-1.9487941193167835e-05,-2.7033247227181642e-05
638.0,-0.0001711867495325727,-0.00019069929266751412,7.464862892955543e-06,7.753873436802802e-06
640.0,-0.00011558383034338206,-0.0001255535189961463,2.8331761213482025e-06,2.3592885128743603e-07
642.0,-0.00015985404504718025,-0.00018975557726236435,-4.361631774679025e-05,-5.594588220949435e-05
644.0,-0.0002900491013305432,-0.0003493370478341241,-2.8325822437253054e-05,-2.9587200903729877e-05
646.0,-0.0002731573347961925,-0.0003081043808772837,2.3542065814307162e-05,4.24794445116451e-05
648.0,-0.00019588083807331412,-0.0001794192697875432,2.06232731636329e-05,4.146614292197684e-05
650.0,-0.00019066424214166002,-0.0001422398091893765,-1.3111698090300099e-05,-6.307950835914669e-06
652.0,-0.00024832763043451444,-0.00020465107313120205,-2.225044197229303e-05,-3.051553320454533e-05
654.0,-0.00027966601003083307,-0.0002643019420075577,6.982534067783483e-06,-7.0601228315533834e-06
656.0,-0.00022039749416338035,-0.00023289156445741564,5.162589240905838e-05,4.2855480218401715e-05
658.0,-7.316244039459898e-05,-9.288002113395078e-05,7.542886382432397e-05,7.694351578657075e-05
660.0,8.131796113391491e-05,7.488249868886701e-05,5.598648468089194e-05,6.382586039200144e-05
662.0,0.00015078349832896933,0.00016242342043405465,4.888897083363194e-06,1.106215225879441e-05
664.0,0.00010087354946736777,0.00011913110772404463,-4.1055237602780915e-05,-4.105609024720815e-05
666.0,-1.3437452082154534e-05,-1.8009405547777824e-06,-5.29001422797943e-05,-5.7769177812367744e-05
668.0,-0.00011072701965180912,-0.00011194560352542622,-3.603762401250278e-05,-4.300869661955166e-05
670.0,-0.00015758794813216547,-0.0001738357270329843,-9.314325406785713e-06,-1.536686955850793e-05
672.0,-0.00014798432127895237,-0.00017341308175945793,1.7675966174463493e-05,1.7216667700876196e-05
674.0,-8.68840834343116e-05,-0.00010496905622947968,2.673311858635381e-05,3.2025772497898846e-05
676.0,-4.105184693353669e-05,-4.530999176786264e-05,9.042983598148736e-06,1.477077152745497e-05
678.0,-5.0712149041716656e-05,-4.588597011965967e-05,-1.1236921866223553e-05,-7.64497666646664e-06
680.0,-8.599953439843092e-05,-7.588989843372906e-05,-1.9636551297743425e-05,-1.9110771876268046e-05
682.0,-0.0001292583542326904,-0.0001223290576247318,-1.586205943184995e-05,-1.8651296542890875e-05
684.0,-0.00014944777212583127,-0.00015049508460529266,9.183832870592474e-07,-2.144160957243038e-06
686.0,-0.00012558482108445356,-0.00013090570145370402,1.693280125655677e-05,1.5938547994047067e-05
688.0,-8.171656709960378e-05,-8.674089262910447e-05,1.6683937864868577e-05,1.6915464358868953e-05
690.0,-5.88490696249791e-05,-6.324384401822824e-05,6.901479927424582e-06,8.31753264841169e-06
692.0,-5.411064738990551e-05,-5.347076203545771e-05,-4.271234063685972e-06,-2.210099494286231e-06
694.0,-7.593400587972276e-05,-7.208424199537309e-05,-1.595452372379236e-05,-1.6199002548817055e-05
696.0,-0.00011792874228507496,-0.00011826677223072603,-1.605227007108508e-05,-1.8517581285720176e-05
698.0,-0.00014014308616406323,-0.00014615456713825385,-8.543108440835611e-08,-1.6797585611231604e-06
700.0,-0.000118270466622708,-0.00012498580647521868,1.5068756955278434e-05,1.4803183379169185e-05
702.0,-7.986805834294944e-05,-8.694183362157703e-05,1.674510097855413e-05,1.6310790698663135e-05
704.0,-5.1290062708491766e-05,-5.9742643680566e-05,1.3158671464085881e-05,1.4042067782897576e-05
706.0,-2.7233372486605936e-05,-3.0773562489986783e-05,1.6226587307191436e-06,2.8005375306960177e-06
708.0,-4.4799427785615067e-05,-4.854049355778193e-05,-1.5951424034971365e-05,-1.7280222301845762e-05
710.0,-9.10390686264914e-05,-9.989445169736998e-05,-1.9869011694037756e-05,-2.1747720845443757e-05
712.0,-0.00012427547456176608,-0.00013553137693955703,-9.053005018934322e-06,-9.25924335257123e-06
714.0,-0.00012725108870222888,-0.00013693142510765472,5.755511348160296e-06,7.29938169923349e-06
716.0,-0.00010125342916912519,-0.00010633385014262299,1.4003934861539226e-05,1.578338276907916e-05
718.0,-7.123534925607169e-05,-7.379789403133808e-05,1.670169777977532e-05,1.8989457248904837e-05
720.0,-3.444663805002395e-05,-3.0376021147003672e-05,1.1843663825669047e-05,1.4227796049110811e-05
722.0,-2.386069395339542e-05,-1.6886709834894864e-05,-4.472852911305993e-06,-5.069326099778297e-06
724.0,-5.2338049695247916e-05,-5.0653325546116856e-05,-1.2764676525636136e-05,-1.4353726482579699e-05
726.0,-7.491940005593984e-05,-7.430161576521371e-05,-1.190310323458487e-05,-1.330770099086756e-05
728.0,-9.995046263358742e-05,-0.00010388412950958716,-1.1708598945307598e-05,-1.5179617760949874e-05
730.0,-0.00012175379583717045,-0.00013502008680901323,-2.841354153339245e-06,-6.050195303623425e-06
732.0,-0.00011131587924694478,-0.00012808491072408064,1.2777903122622478e-05,1.3214968721272033e-05
734.0,-7.064218334668059e-05,-8.216021192392512e-05,1.8424782528262036e-05,2.0977036211932964e-05
736.0,-3.761674913389626e-05,-4.417676587634909e-05,1.0323618709294678e-05,1.2075078287880185e-05
738.0,-2.9347708509501772e-05,-3.3859898772404356e-05,8.894634244392336e-07,2.471442030912516e-06
740.0,-3.405889543613941e-05,-3.4290997752699016e-05,-7.311129738373363e-06,-5.891450107201251e-06
742.0,-5.859222746299526e-05,-5.7425699201209335e-05,-1.3826903990924471e-05,-1.3703937130080616e-05
744.0,-8.936651139983731e-05,-8.910674627302158e-05,-1.220731140965199e-05,-1.2551304830754948e-05
746.0,-0.00010742147310160306,-0.00010763091852422917,-2.297436523443911e-06,-1.5875665780830907e-06
748.0,-9.855625749361298e-05,-9.545701258535393e-05,7.715139499907397e-06,9.136152006823848e-06
750.0,-7.656091510197373e-05,-7.108631049693382e-05,1.2151121128734719e-05,1.3082221485158872e-05
752.0,-4.995177297867396e-05,-4.312812664471843e-05,1.0992833278774641e-05,1.0965573360747587e-05
754.0,-3.258958198687513e-05,-2.722401705394348e-05,4.076818642127906e-06,2.4309689800241432e-06
756.0,-3.36444984101623e-05,-3.3404250724621844e-05,-1.7509479436081432e-06,-3.7322528315020046e-06
758.0,-3.959337376130766e-05,-4.215302837995147e-05,-7.892035421733987e-06,-1.0648401617108231e-05
760.0,-6.52126400970982e-05,-7.599785719305471e-05,-1.2257014632470728e-05,-1.6151988691763955e-05
762.0,-8.862143229119055e-05,-0.00010676098314700737,-5.890733451591309e-06,-7.71294188607413e-06
764.0,-8.877557390346336e-05,-0.00010684962473735132,3.501208782245836e-06,4.322145129333924e-06
766.0,-7.461659716220723e-05,-8.94724026296717e-05,1.0784341820619788e-05,1.3561311309828542e-05
768.0,-4.563820662098428e-05,-5.26043794980371e-05,1.2820970905942579e-05,1.6249615752313168e-05
770.0,-2.333271353843708e-05,-2.447393962041909e-05,6.333688161128591e-06,7.95756311000116e-06
772.0,-2.0303453976470035e-05,-2.077412705803254e-05,3.1099250119754166e-07,1.1415177693263478e-06
774.0,-2.2088743533646923e-05,-1.990786854311367e-05,-3.9447747327087965e-06,-3.135736917253215e-06
776.0,-3.608255290730514e-05,-3.331707472704542e-05,-9.799287136125898e-06,-1.0530520768201929e-05
778.0,-6.128589207815049e-05,-6.202995161592133e-05,-1.3421576979634134e-05,-1.6118345694517507e-05
780.0,-8.97688608258416e-05,-9.779045750511552e-05,-8.49048673102579e-06,-1.0740681815583073e-05
782.0,-9.524783900225347e-05,-0.0001049926788782537,2.14316823602035e-06,2.1404470128899023e-06
784.0,-8.119618788176014e-05,-8.922866945355592e-05,7.305595609609008e-06,7.324414807222207e-06
786.0,-6.602545656381778e-05,-7.569501964936493e-05,9.735003737163547e-06,9.637017270089792e-06
788.0,-4.225617293310603e-05,-5.068060037319668e-05,1.0514511882475027e-05,1.1088651867126062e-05
790.0,-2.3967409033917454e-05,-3.1340412180860686e-05,6.523690068307335e-06,7.0284634986035e-06
792.0,-1.6161412659876773e-05,-2.256674637878269e-05,1.0063310269528476e-06,1.490690255752718e-06
794.0,-1.9942084926106078e-05,-2.537765115784979e-05,-6.48579909731252e-06,-7.114847323803852e-06
796.0,-4.2104609049126706e-05,-5.102613567399808e-05,-1.1046194027340578e-05,-1.242613435714096e-05
798.0,-6.412686103546839e-05,-7.508218858641372e-05,-9.303831655587388e-06,-9.915745340430883e-06
