source_id,y,class_name,auc,roughness_d1,roughness_d2
1553487166999658112,0,non_binary,26.03379340755052,0.00022526467065076697,1.4938940806658264e-05
1554816510916988544,0,non_binary,24.210127140617843,0.0002872912936007316,3.0769385485529697e-05
1561116845686660352,0,non_binary,25.49536300974715,0.00019676102796188579,1.4841067574907454e-05
1564081030251770752,0,non_binary,25.267689867229127,0.0007969637907774176,0.00010566958253135582
1568451554613870848,0,non_binary,23.479128628931797,0.00022564983560462783,1.6308607911453642e-05
1568569889552108800,0,non_binary,23.380154968111682,0.00025644744285590714,2.287196456443541e-05
1570270249924113408,0,non_binary,24.229606324905514,0.0002628959771949985,2.230536948638793e-05
1570548009752602240,1,binary,24.135742248904215,0.0004985470763144574,4.380193549966557e-05
1572188107440718848,0,non_binary,23.945338862355392,0.00023615248046315393,2.1624304269371273e-05
1573011744729727104,0,non_binary,22.735013164769867,0.00027368134751029047,2.3838826562625783e-05
1573490719481398016,0,non_binary,23.01256023807767,0.0016819022741234372,0.0003089581844472621
1575432697534110336,0,non_binary,23.762737552619537,0.00047223731820032056,6.054619217095295e-05
1583302860031730048,0,non_binary,22.664329742441883,0.0010495340338097716,0.0001257162536630482
1585277243613047936,0,non_binary,24.667918083598163,0.0003012353643174527,3.514249801624788e-05
1589826095016002432,1,binary,26.122984032953262,0.00035764575055485386,4.708803696621064e-05
1590388529573233536,0,non_binary,24.93615282871318,0.0007159648028849162,9.310956528652116e-05
1590723949339489024,0,non_binary,26.441429836023275,0.0018479675599254461,0.0002836214788455655
1590839294981400704,0,non_binary,26.703207273109726,0.00021233249750994708,1.3581575145054667e-05
1591755325606144640,1,binary,25.358880282125945,0.002296756977022046,0.00033917661994802364
1592412936639159424,1,binary,28.50596478371969,0.0004524688879899685,6.989457183987719e-05
1592429562456407424,0,non_binary,24.6784168944854,0.001274297719874489,0.0002033261698700722
1595357428778377344,0,non_binary,24.352311206805155,0.0002586160368842049,2.2527092008127276e-05
1604107479750791552,0,non_binary,26.88266630507714,0.0006992582327085534,9.51456557553888e-05
1605239049014274560,0,non_binary,23.782912433237918,0.0019573911652919825,0.0002537596059432249
1605724311599744640,0,non_binary,23.247467213257327,0.0006370740874592198,9.233300482207202e-05
1610502101938798592,1,binary,27.37306507254635,0.001092361701153948,0.00017607027395847324
1611954625518358272,0,non_binary,23.713565183157794,0.00029973546789359803,2.932997595427219e-05
1613918284566113152,0,non_binary,24.874119289829686,0.0009811361201977648,0.0001469603077066086
1615596448547786496,1,binary,29.655851050270982,0.00012632738387272294,1.1805647655221582e-05
1616611675737469184,1,binary,28.233664133916303,0.00040114035998452664,5.660928217552021e-05
1616839343363866752,1,binary,30.853354595325218,0.0005337963486542078,9.052540730150506e-05
1621110911677590272,1,binary,28.291500726320862,0.00022419678031895826,1.8548132206434605e-05
1624316430453434880,0,non_binary,23.621875043236447,0.0006887569021599556,9.053256078458101e-05
1624385841420963840,1,binary,26.701309936917625,0.00034185519308056956,4.2918994426473056e-05
1624436212797252480,0,non_binary,26.312722050100408,0.0012111454980782606,0.00018639000452443875
1625482634333259904,1,binary,30.436988918949538,0.00015930517558889227,1.632175159380522e-05
1627040062490757120,0,non_binary,24.383437358752836,0.0006863919591683277,0.00011049142582906551
1629425796564620160,1,binary,28.883416450261787,0.0007079251455666127,0.00010078594673432115
1631599702851400448,0,non_binary,23.93054455785352,0.000722934614721694,8.674663531544519e-05
1632316034677934720,0,non_binary,23.63560291278235,0.0005162136054895369,7.08816839570877e-05
1632504772720376320,1,binary,25.3533466759515,0.0017211996603673989,0.00021636283652736314
1634908820534152832,0,non_binary,24.714561255623288,0.0002708466143292566,2.728087676208222e-05
1635443217545772800,1,binary,26.86087347319535,0.0021257079111329865,0.00039114610302334055
1637761847049851392,0,non_binary,25.14395263245897,0.0005449927010370081,7.582719188235627e-05
1637779336156895360,0,non_binary,23.54924363068612,0.00029801532027796794,2.3223184004662704e-05
1638168150956008320,1,binary,30.58499930512436,0.000939757852910179,0.00015300001794788155
1638944818481870848,0,non_binary,25.10545470657034,0.0009865061819798778,0.0001705445942851131
1639437021733793920,1,binary,29.779851310235024,0.0005067676391916397,6.141942362514164e-05
1639966608381889664,0,non_binary,23.249850701539575,0.0003753785946646553,4.049882614103369e-05
1639999937328089088,0,non_binary,24.603499249899528,0.00030118336066982593,3.020736516109412e-05
1640097759502807936,0,non_binary,24.142581095282758,0.0012747669523079164,0.00022328258516883789
1643840428364277248,0,non_binary,24.556321818458727,0.0002525181222496943,1.925830375262195e-05
1647303168437152128,0,non_binary,22.87787650186335,0.00045083504177797747,4.270803308123166e-05
1648476656582002176,0,non_binary,23.482128017478047,0.0011680366573792855,0.00020182030788447834
1649681996203766656,1,binary,29.69080483838476,0.000894014111086045,0.00014103004679245866
1650122762927286656,0,non_binary,23.326548626321387,0.0004391250516836242,5.411311103118057e-05
1654392643319054464,0,non_binary,23.381043874257287,0.00039427350070128626,4.965072407261206e-05
1655490716133145216,0,non_binary,23.86351374822206,0.0006426344156380494,0.00012063491956788154
1659750327258228352,1,binary,25.3127843748326,0.0008758473859358887,0.00012030665021356383
1660055029417965952,0,non_binary,24.27449462958311,0.0002765594082818025,2.313899436161953e-05
1660450887963595392,1,binary,31.107988063173444,0.00024072439114825007,2.031031653483648e-05
1660591797250581888,0,non_binary,23.274412567747994,0.0003835473049686254,3.837648492549401e-05
1662618815655804416,0,non_binary,25.208815638993457,0.00037606112514093404,4.544661514760253e-05
1662849232061173248,1,binary,27.632009069150758,0.0002466749939255572,2.993239179345275e-05
1666275653890915328,1,binary,29.992024630304414,0.0004276251496934768,6.0182633682978514e-05
1671349350297566976,0,non_binary,23.774531271454922,0.0003670070110111998,3.180227711698168e-05
1672368975533354880,1,binary,27.266733606257798,0.0004907370085249967,6.279659906640423e-05
1677696830924518912,1,binary,28.976870642869713,0.00030726320534675046,4.062787473416196e-05
1681310444608684928,0,non_binary,23.699954924961368,0.00035548352414651544,3.562050225841539e-05
1684501433510930304,0,non_binary,23.961388049509434,0.0018407357204849664,0.0003051356221700267
1692116238728076544,0,non_binary,23.10940080822695,0.0005881956175733561,9.65843701042615e-05
1698807935214184192,0,non_binary,23.623228301953414,0.0004655600460110922,5.592262667603168e-05
1701053481555512192,0,non_binary,24.31846324428877,0.0006043399192168004,7.124659202891908e-05
1702509887785603456,1,binary,30.745057701140375,0.00030941070463621627,3.4264842806000116e-05
1706648552633207040,0,non_binary,25.27532209560361,0.00032473520470569064,3.8258605055411086e-05
1706750635415036288,0,non_binary,24.97032938192516,0.0021069254829777975,0.0003645708109663058
1710904418546053632,0,non_binary,24.644199067263607,0.0002638885600181295,2.8496432079701607e-05
1721853419758839424,0,non_binary,24.920077594457442,0.00032632749372873623,2.768572469593612e-05
1724609414373827072,0,non_binary,25.2987033357477,0.00029347431144535134,3.899274591551971e-05
1729653290822954880,0,non_binary,25.189321125381134,0.0010064916822085405,0.00017014078453809562
1731435633531386752,0,non_binary,24.06564904842996,0.0002943800813651168,3.646339765554897e-05
1731490128076542976,0,non_binary,24.623379851980758,0.0003841583043155146,4.774293329994061e-05
1733071908696066176,0,non_binary,26.435612197097157,0.0007235241917456204,0.00011491518132472593
1734533812483812736,0,non_binary,25.14339784533835,0.0002205295770157671,2.1891634713924662e-05
1734921287254144640,0,non_binary,25.095776012671912,0.0006046381546583702,7.419078691035946e-05
1735100065268826880,1,binary,31.0095061552567,0.0017436778457494044,0.00023138175399168112
1735991253803944960,0,non_binary,26.11842289949301,0.0003410287055493978,4.0693811323715206e-05
1736277229904971520,0,non_binary,25.416973275713165,0.001468575594802957,0.00022523835358183758
1737015070927018368,0,non_binary,23.73385451067603,0.0029453952180834193,0.0005286761339408915
1739298997095482240,1,binary,30.911306444019964,0.0002285288360708353,3.2275972572173044e-05
1741581170917641728,0,non_binary,24.405810232015064,0.0004679385647745884,6.57268076907871e-05
1741911299283825408,0,non_binary,24.248361779272937,0.0004154057120062208,5.222734998997391e-05
1742021628404121600,0,non_binary,24.392548725797926,0.00029076686363487767,3.112005331128477e-05
1742687073456928512,1,binary,30.35003447549935,0.0003797708213371335,5.130614834961372e-05
1745058135922732544,0,non_binary,25.365216095443532,0.0014380691776705937,0.00023092120637307884
1745787146491359104,0,non_binary,25.103893375835277,0.0010579278145877629,0.0001525228872110997
1745828481256730368,0,non_binary,24.79498010289728,0.0002963325733173653,2.6114885543172314e-05
1745849337621677184,0,non_binary,24.77755533488501,0.0005143289070018167,7.448751217459784e-05
1746789866736764800,0,non_binary,25.628426879402724,0.00155826213143916,0.0002740408504374796
1747471392148095232,0,non_binary,23.437141827608038,0.0009830585791465057,0.00012147763867111835
1749434329641481728,0,non_binary,25.25271990880637,0.00042469427745994004,5.7709378283302956e-05
