wavelength,mean_non_binary_raw,mean_binary_raw,mean_non_binary_l2,mean_binary_l2,difference_binary_minus_non_binary_l2
558.0,9.907172549571039e-17,5.58165455316203e-17,0.038423946078338295,0.04333833270166867,0.004914386623330373
560.0,9.77462910264065e-17,5.5171255947272785e-17,0.037935243938272564,0.042861341847125,0.004926097908852435
562.0,9.63234495380898e-17,5.447941609198666e-17,0.0374120039571685,0.04234490006542526,0.004932896108256757
564.0,9.487954705212045e-17,5.378654182058148e-17,0.0368831918171289,0.04182517136716837,0.004941979550039471
566.0,9.350041046942056e-17,5.314247510003353e-17,0.036381181369622755,0.04134200992091048,0.004960828551287724
568.0,9.214616757250039e-17,5.2524265964209046e-17,0.03588918910796364,0.04087874726584267,0.004989558157879027
570.0,9.107520091204285e-17,5.2077621385341103e-17,0.03550645709943629,0.0405499040583528,0.005043446958916509
572.0,9.023447504844515e-17,5.176995283354608e-17,0.035211005412091295,0.0403310428686836,0.0051200374565923065
574.0,8.920934650152997e-17,5.135907460554402e-17,0.03483966700285057,0.040033944349305225,0.005194277346454654
576.0,8.813217397127097e-17,5.091493999316765e-17,0.034442867751491545,0.03971297276233404,0.005270105010842498
578.0,8.678738892934733e-17,5.0307024591974396e-17,0.03393566106299952,0.03926572875817326,0.005330067695173739
580.0,8.541767516298145e-17,4.967056938582556e-17,0.033412830586593015,0.03879679500253182,0.005383964415938802
582.0,8.383997448007581e-17,4.8895809301229654e-17,0.032803347059181934,0.0382193935491167,0.005416046489934767
584.0,8.203129758235332e-17,4.796706638736155e-17,0.03209923821030501,0.0375200991722928,0.005420860961987788
586.0,8.049004649967475e-17,4.7175922173249417e-17,0.031496906673007495,0.03692611115816718,0.005429204485159683
588.0,7.903408670450425e-17,4.641822062674295e-17,0.030926583147414883,0.036355512449855604,0.005428929302440721
590.0,7.784453979187726e-17,4.580343417523499e-17,0.030460588036109657,0.03589382846536512,0.00543324042925546
592.0,7.710411400633417e-17,4.544313358239531e-17,0.0301717128808057,0.03562863484491844,0.005456921964112741
594.0,7.623778424639335e-17,4.500235856794779e-17,0.029836051480912996,0.0352975908574574,0.005461539376544405
596.0,7.547876588757193e-17,4.4621809760861795e-17,0.029545718493705478,0.03501132555517913,0.00546560706147365
598.0,7.504997537456177e-17,4.4436645913240174e-17,0.029388567678050467,0.034876418097415575,0.005487850419365108
600.0,7.470611926909059e-17,4.430484326635947e-17,0.029268897143895186,0.034782063493533785,0.005513166349638599
602.0,7.436597511915114e-17,4.418040241071727e-17,0.029154828692723626,0.034692806726063743,0.005537978033340118
604.0,7.381583307673392e-17,4.39374287560386e-17,0.028962045709497394,0.03451043048043465,0.005548384770937258
