split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold4,Functional linear,Functional logistic regression (L2),0.8725733467368452,0.9208504909724422,0.4371859296482412,0.8482142857142857,0.8407079646017699,0.9600886917960089,0.9378330373001776,0.8444444444444444,0.8083029775102946,0.01,0.9158897101967182,343
rep1_fold4,Functional linear,Functional logistic regression (L1),0.8448610610354409,0.9180788723471651,0.457286432160804,0.8482142857142857,0.7661290322580645,0.9356984478935698,0.9182948490230906,0.8050847457627118,0.7839127336078555,0.06309573444801933,0.9138068200421876,56
rep1_fold4,Functional linear,Functional linear SVM,0.8872148258404786,0.9303729806778587,0.1658291457286432,0.8392857142857143,0.831858407079646,0.9578713968957872,0.9342806394316163,0.8355555555555556,0.7971571111815015,0.01,0.9129521001301867,343
rep2_fold0,Functional linear,Functional logistic regression (L2),0.8571530412436386,0.9184604958941243,0.3919597989949749,0.7837837837837838,0.75,0.9358407079646017,0.9058614564831261,0.7665198237885462,0.7196244917483856,0.01,0.9195855973084862,343
rep2_fold0,Functional linear,Functional logistic regression (L1),0.8313922574373659,0.9019771984373753,0.36180904522613067,0.7927927927927928,0.7154471544715447,0.922566371681416,0.8969804618117229,0.7521367521367521,0.7153591644742088,0.06309573444801933,0.9159169116527788,51
rep2_fold0,Functional linear,Functional linear SVM,0.860684644265443,0.9171250896914613,0.1306532663316583,0.7927927927927928,0.7586206896551724,0.9380530973451328,0.9094138543516874,0.775330396475771,0.7308458901379256,0.01,0.912273837296178,343
rep2_fold1,Functional linear,Functional logistic regression (L2),0.9158492947506195,0.9405046639559913,0.3969849246231156,0.9009009009009009,0.8403361344537815,0.9579646017699115,0.9467140319715808,0.8695652173913043,0.8588655026708123,0.01,0.90508081552065,343
rep2_fold1,Functional linear,Functional logistic regression (L1),0.896235919561104,0.935442079247389,0.38190954773869346,0.9099099099099099,0.7651515151515151,0.9314159292035398,0.9271758436944938,0.831275720164609,0.8413258391134497,0.06309573444801933,0.9068211657464468,66
rep2_fold1,Functional linear,Functional linear SVM,0.9244715777091818,0.9481583353264771,0.18090452261306533,0.9009009009009009,0.8264462809917356,0.9535398230088495,0.9431616341030196,0.8620689655172413,0.8544407239097505,0.01,0.8979309223813532,343
rep2_fold2,Functional linear,Functional logistic regression (L2),0.807518199384834,0.8751781754830535,0.4020100502512563,0.7946428571428571,0.7807017543859649,0.9445676274944568,0.9147424511545293,0.7876106194690266,0.7392104846373138,0.06309573444801933,0.9221675074258187,343
